Time,Fat,Weight,Calories,Carbs,Fat,Fiber,Protein,Sodium
2019-08-29,41.3,346.8,2329,355,41.3,42,105,3157
2019-08-30,41.3,346.0,2630,443,41.3,53,113,3738
2019-08-31,41.3,346.0,2575,373,41.3,36,108,3396
2019-09-01,41.3,345.0,3461,456,41.3,25,76,4992
2019-09-02,41.3,343.0,2821,442,41.3,50,122,3689
2019-09-03,41.3,343.0,2283,342,41.3,40,104,3160
2019-09-04,41.3,343.4,2322,321,41.3,33,108,3287
2019-09-05,41.3,342.8,2464,339,41.3,38,120,3807
2019-09-06,41.3,342.2,3949,501,41.3,40,150,8247
2019-09-07,41.3,340.2,3699,408,41.3,37,186,6513
2019-09-08,40.3,340.2,2704,340,40.3,26,86,4426
2019-09-09,40.3,341.2,2132,281,40.3,47,116,3368
2019-09-10,40.2,340.3,2465,317,40.2,36,130,4248
2019-09-11,40.3,340.9,2512,329,40.3,47,122,4138
2019-09-12,40.4,339.6,2605,355,40.4,42,134,4063
2019-09-13,40.5,339.7,2894,363,40.5,46,155,5023
2019-09-14,40.5,339.7,2590,411,40.5,28,74,3656
2019-09-15,40.5,338.7,3292,346,40.5,32,126,6236